2000/03/01;09:00;GBP;H;Retail Sales (MoM) (Feb);;-1.80%;;;2.20%;
2000/03/01;09:00;USD;H;CB Consumer Confidence (Feb);;140.80;;;144.70;
2000/03/01;09:00;USD;H;Core CPI (MoM) (Feb);;0.10%;;;0.30%;
2000/03/01;09:00;USD;H;Core Retail Sales (MoM) (Feb);;1.30%;;;-1.70%;
2000/03/01;09:00;USD;H;Crude Oil Inventories (Feb);;1.08M;;;-1.70M;
2000/03/01;09:00;USD;H;Existing Home Sales (Feb);;5.12M;;;5.23M;
2000/03/01;09:00;USD;H;ISM Manufacturing PMI (Feb);;55.80;;;56.70;
2000/03/01;09:00;USD;H;ISM Non-Manufacturing PMI (Feb);;56.20;;;56.60;
2000/03/01;09:00;USD;H;New Home Sales (Feb);;856.00K;;;873.00K;
2000/03/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Feb);;14.70;;;11.50;
2000/03/01;09:00;USD;H;Retail Sales (MoM) (Feb);;1.50%;;;-0.70%;
2000/03/01;09:00;CAD;H;Core CPI (MoM) (Feb);;0.40%;;;-0.20%;
2000/03/01;09:00;CAD;H;Core Retail Sales (MoM) (Feb);;0.40%;;;0.40%;
2000/03/01;09:00;CAD;H;Employment Change (Feb);;19.50K;;;41.40K;
2000/03/01;09:00;CAD;H;GDP (MoM) (Feb);;0.00%;;;0.50%;
2000/03/01;09:00;CAD;H;BoC Interest Rate Decision (Feb);;5.00%;;;4.75%;
2000/03/01;09:00;AUD;H;Employment Change (Feb);;50.40K;;;-44.60K;
2000/03/01;09:00;AUD;H;RBA Interest Rate Decision (Feb);;5.50%;;;5.00%;
2000/03/01;09:00;AUD;H;Retail Sales (MoM) (Feb);;-0.20%;;;-0.50%;
2000/03/01;09:00;NZD;H;RBNZ Interest Rate Decision (Feb);;5.25%;;;5.11%;
2000/03/01;09:00;EUR;H;CPI (YoY) (Feb);;2.00%;;;1.90%;
2000/03/01;09:00;EUR;H;ECB Interest Rate Decision (Feb);;3.25%;;;3.00%;
2000/03/01;12:30;USD;H;Unemployment Rate (Feb);;4.1%;;;4%;
2000/03/03;12:30;USD;H;Nonfarm Payrolls (Feb);;130K;;;231K;
2000/03/21;18:00;USD;H;Fed Interest Rate Decision;;6.00%;;;5.75%;
2000/04/01;09:00;GBP;H;Claimant Count Change (Mar);;-8.20K;;;-10.70K;
2000/04/01;09:00;GBP;H;CPI (YoY) (Mar);;0.60%;;;0.90%;
2000/04/01;09:00;GBP;H;BoE Interest Rate Decision (Mar);;6.00%;;;6.00%;
2000/04/01;09:00;GBP;H;Manufacturing Production (MoM) (Mar);;0.20%;;;1.30%;
2000/04/01;09:00;GBP;H;Retail Sales (MoM) (Mar);;0.30%;;;-1.80%;
